assignment_id,employee_id,project_id,role,start_date,end_date,allocation_pct,is_billable
14ea9cb0,E4862,P2021000,Analytics Consultant,2023-10-21,2024-04-28,84,True
6e7cfc64,E8913,P2021000,Analytics Consultant,2023-10-21,2024-04-28,100,True
5c172fc4,E2334,P2021000,Analytics Consultant,2023-10-21,2024-04-28,90,True
ff6d0b72,E2269,P2021000,Junior BI Specialist,2023-10-21,2024-04-28,90,True
5e2d4df8,E3655,P2021000,Data Engineer,2023-10-21,2024-04-28,84,True
c0362acb,E3722,P2021000,Data Engineer,2023-10-21,2024-04-28,89,True
88f75503,E1639,P2021000,Data Engineer,2023-10-21,2024-04-28,93,True
f57bc331,E3797,P2021000,Junior BI Specialist,2023-10-21,2024-04-28,85,False
eb899608,E8982,P2021000,Analytics Consultant,2023-10-21,2024-04-28,81,True
2407eb8d,E7850,P2021000,Analytics Consultant,2023-10-21,2024-04-28,90,True
b02ff698,E2926,P2021000,BI Specialist,2023-10-21,2024-04-28,81,True
0100dc91,E7082,P2021001,SOC Analyst,2022-02-23,2023-05-10,99,True
f5f98be9,E8735,P2021001,SOC Analyst,2022-02-23,2023-05-10,84,True
bdd07bac,E3217,P2021001,Pentester,2022-02-23,2023-05-10,90,True
2ab410e6,E8763,P2021001,SOC Analyst,2022-02-23,2023-05-10,82,True
f4c689f7,E3936,P2021001,Pentester,2022-02-23,2023-05-10,82,True
ae045bc5,E1091,P2021001,Security Architect,2022-02-23,2023-05-10,100,True
784eaf37,E4264,P2021001,Security Architect,2022-02-23,2023-05-10,82,True
18f41da9,E4156,P2021002,Blockchain Developer,2022-04-08,2022-10-31,84,True
fd5b797e,E6009,P2021002,Smart Contract Engineer,2022-04-08,2022-10-31,82,True
386ce1d0,E5173,P2021002,Smart Contract Engineer,2022-04-08,2022-10-31,90,True
1c79bbe0,E2269,P2021002,Blockchain Developer,2022-04-08,2022-10-31,88,True
78bc42a3,E4429,P2021003,Functional Analyst,2022-07-22,2023-12-28,94,False
afc956cb,E4546,P2021003,ERP Consultant,2022-07-22,2023-12-28,94,True
f2126b21,E3348,P2021003,ERP Consultant,2022-07-22,2023-12-28,82,True
a9860cca,E6297,P2021003,ERP Consultant,2022-07-22,2023-12-28,82,True
d71d3ae7,E3244,P2021003,ERP Consultant,2022-07-22,2023-12-28,89,False
3edefb0b,E7969,P2021003,Functional Analyst,2022-07-22,2023-12-28,84,True
7b0e4215,E5957,P2021003,Functional Analyst,2022-07-22,2023-12-28,97,True
c66dfc9f,E4944,P2021003,ERP Consultant,2022-07-22,2023-12-28,89,True
8b8aa607,E7316,P2021003,Functional Analyst,2022-07-22,2023-12-28,96,False
d143d247,E6107,P2021003,Functional Analyst,2022-07-22,2023-12-28,80,True
cf3b4dba,E9694,P2021003,Junior Functional Analyst,2022-07-22,2023-12-28,99,True
89fd412a,E3721,P2021003,ERP Consultant,2022-07-22,2023-12-28,88,False
aa850783,E3916,P2021004,DevOps Engineer,2023-06-11,2024-06-08,90,True
d67a76fa,E8636,P2021004,DevOps Engineer,2023-06-11,2024-06-08,80,True
8072964e,E7948,P2021004,DevOps Engineer,2023-06-11,2024-06-08,83,False
be142571,E4129,P2021004,Solutions Architect,2023-06-11,2024-06-08,96,False
481d5922,E1174,P2021004,DevOps Engineer,2023-06-11,2024-06-08,89,True
18356563,E9618,P2021004,DevOps Engineer,2023-06-11,2024-06-08,92,True
d184f36b,E6085,P2021004,Solutions Architect,2023-06-11,2024-06-08,83,True
17abef83,E5157,P2021004,DevOps Engineer,2023-06-11,2024-06-08,95,True
37e67b39,E5473,P2021004,DevOps Engineer,2023-06-11,2024-06-08,97,True
bd32e6c1,E8843,P2021004,DevOps Engineer,2023-06-11,2024-06-08,84,True
004151a4,E1625,P2021005,Blockchain Developer,2021-12-22,2022-09-20,82,True
d11666bb,E3898,P2021005,Blockchain Developer,2021-12-22,2022-09-20,97,True
c1723cb5,E2356,P2021005,Junior Blockchain Developer,2021-12-22,2022-09-20,87,True
a283d2bf,E1918,P2021005,Blockchain Developer,2021-12-22,2022-09-20,96,True
b1cd6167,E6148,P2021005,Blockchain Developer,2021-12-22,2022-09-20,99,True
76a2e538,E4181,P2021005,Smart Contract Engineer,2021-12-22,2022-09-20,88,False
2e958e44,E6450,P2021005,Blockchain Developer,2021-12-22,2022-09-20,90,True
0814c830,E3772,P2021005,Junior Smart Contract Engineer,2021-12-22,2022-09-20,98,True
11bcbb80,E9459,P2021005,Junior Smart Contract Engineer,2021-12-22,2022-09-20,100,False
5f61fc13,E7821,P2021005,Smart Contract Engineer,2021-12-22,2022-09-20,94,True
828cf8e9,E7705,P2021006,SOC Analyst,2022-02-11,2023-02-28,85,True
16cdc6d5,E1052,P2021006,SOC Analyst,2022-02-11,2023-02-28,91,True
762a4b31,E6745,P2021006,SOC Analyst,2022-02-11,2023-02-28,95,True
ea88f87c,E2410,P2021006,Pentester,2022-02-11,2023-02-28,81,True
c5cdc464,E2444,P2021006,SOC Analyst,2022-02-11,2023-02-28,84,True
3439c396,E5042,P2021007,Analytics Consultant,2021-06-16,2022-10-08,89,True
49b6d1ef,E4130,P2021007,Analytics Consultant,2021-06-16,2022-10-08,86,True
0a9ebb46,E3174,P2021007,Analytics Consultant,2021-06-16,2022-10-08,84,True
e70ecc60,E5703,P2021007,BI Specialist,2021-06-16,2022-10-08,81,True
be983a62,E6169,P2021007,Data Engineer,2021-06-16,2022-10-08,97,True
6b74f89b,E5469,P2021007,Data Engineer,2021-06-16,2022-10-08,82,True
25eabf35,E5832,P2021007,Junior Data Engineer,2021-06-16,2022-10-08,99,False
5b26083e,E5334,P2021007,BI Specialist,2021-06-16,2022-10-08,85,True
976258eb,E4451,P2021008,SOC Analyst,2021-11-15,2022-09-16,87,True
671f1c69,E6683,P2021008,Junior SOC Analyst,2021-11-15,2022-09-16,90,True
c94c954b,E4398,P2021008,SOC Analyst,2021-11-15,2022-09-16,100,True
6e124a83,E5406,P2021008,SOC Analyst,2021-11-15,2022-09-16,86,True
5b26b510,E5230,P2021008,Security Architect,2021-11-15,2022-09-16,90,True
1c938c39,E1515,P2021008,Pentester,2021-11-15,2022-09-16,80,False
886dc960,E8785,P2021008,Junior Pentester,2021-11-15,2022-09-16,80,True
04bbf60a,E6291,P2021008,SOC Analyst,2021-11-15,2022-09-16,88,True
9b2add88,E1554,P2021008,Pentester,2021-11-15,2022-09-16,98,True
ac97d5d0,E6879,P2021008,Security Architect,2021-11-15,2022-09-16,83,True
ab4eec2d,E3600,P2021008,Pentester,2021-11-15,2022-09-16,80,True
0d86474a,E6516,P2021008,Pentester,2021-11-15,2022-09-16,99,False
1279e6d6,E8126,P2021009,Solutions Architect,2023-07-24,2024-06-21,92,True
a471852d,E4990,P2021009,DevOps Engineer,2023-07-24,2024-06-21,95,True
0fe6995c,E6535,P2021009,DevOps Engineer,2023-07-24,2024-06-21,90,True
6d9cadc9,E5918,P2021009,DevOps Engineer,2023-07-24,2024-06-21,82,True
0151ef44,E9306,P2021009,Cloud Architect,2023-07-24,2024-06-21,90,True
116c23ac,E5413,P2021009,DevOps Engineer,2023-07-24,2024-06-21,86,True
9a3e441c,E1467,P2021009,Junior DevOps Engineer,2023-07-24,2024-06-21,89,True
b3453efa,E5924,P2021009,Cloud Architect,2023-07-24,2024-06-21,89,True
1c574675,E3286,P2021009,Junior DevOps Engineer,2023-07-24,2024-06-21,99,True
75e8068e,E5936,P2021010,IoT Architect,2021-10-30,2022-03-11,89,True
5b308522,E4869,P2021010,IoT Architect,2021-10-30,2022-03-11,94,True
0d22d9ec,E2477,P2021010,Junior Embedded Engineer,2021-10-30,2022-03-11,91,True
dfab4ccd,E7131,P2021010,Embedded Engineer,2021-10-30,2022-03-11,80,True
