client_id,client_name,tech_domain,industry,project_value,billable_hours,satisfaction,churned,first_project_date,last_project_date,account_manager,client_tier,contract_type
b08f4e82,IoT Connect,IoT,IoT,19271086770.63,391520,7.3,False,2021-01-12,2025-02-16,Amanda Diaz,B,Time&Materials
38d8a83f,SecureNet Systems,Cybersecurity,Cybersecurity,16194940891.89,208800,6.0,False,2021-01-03,2025-01-24,Tracy Bishop,B,Time&Materials
62676452,Doyle Ltd Solutions,Digital Transformation,Digital Transformation,13345384045.8,224320,7.8,True,2021-01-19,2024-11-07,Rachel Young,A,Time&Materials
42ffdf5e,Dudley Group Systems,IoT,IoT,16055202018.23,302720,7.2,False,2021-01-08,2025-04-12,Vincent Mueller,B,Time&Materials
488fd3ec,Burton Ltd Solutions,Cybersecurity,Cybersecurity,14237770415.789999,320000,7.1,False,2021-01-16,2025-05-10,Cheyenne Gregory,C,Time&Materials
cdac1b32,Smith-Bowen Systems,IoT,IoT,21098535252.09,305120,7.6,False,2021-02-26,2025-01-17,Jessica Hammond,A,Time&Materials
ec6746d8,Perez Inc Solutions,AI/ML,AI/ML,25667199104.0,373120,6.3,False,2021-01-04,2024-12-02,Kathryn Barnes,B,Time&Materials
c88b0cfc,Wilkerson-Day Systems,IoT,IoT,22322523602.36,526240,7.3,False,2021-01-30,2025-02-24,Curtis Jacobs,B,Fixed Price
5db8eeb6,"Walter, Edwards and Rios Technologies",Cloud Migration,Data Analytics,5643373061.52,157440,7.3,False,2021-03-04,2024-11-17,Amy Castillo,B,Fixed Price
b75b1093,"Ferrell, Rice and Maddox Systems",IoT,IoT,21409550634.27,399040,6.9,False,2021-03-11,2024-09-18,Timothy Dawson,B,Time&Materials
713a2b5c,Rodriguez-Graham Systems,AI/ML,AI/ML,26928536118.42,351040,6.9,False,2021-01-01,2024-12-31,Belinda Miller,C,Fixed Price
8052e528,"Ross, Robinson and Bright Solutions",ERP Implementation,ERP Implementation,19709800962.35,408800,7.6,False,2021-02-25,2025-01-13,Jerry Palmer,A,Fixed Price
48f28225,"Guzman, Hoffman and Baldwin Technologies",IoT,IoT,20524551572.989998,271200,6.9,False,2021-01-07,2024-11-24,Anna Lozano,A,Fixed Price
5342f3bb,"Mcclure, Ward and Lee Systems",Blockchain,Data Analytics,8936141182.48,334400,7.6,False,2021-04-14,2025-05-04,Stacey Arias,B,Time&Materials
7950acc9,Arnold Ltd Solutions,Digital Transformation,Digital Transformation,24471569366.489998,418560,7.2,False,2021-01-19,2025-02-17,James Brooks,B,Fixed Price
a83e595f,James Group Systems,ERP Implementation,ERP Implementation,12239238152.14,414560,6.9,True,2021-01-30,2024-10-13,Brad Walker,A,Time&Materials
84402407,BlockChain Innovations,Blockchain,Blockchain,32394130409.489998,431840,5.7,False,2021-01-02,2025-02-26,Brett Espinoza,C,Time&Materials
0ebe8775,Harrell LLC Solutions,ERP Implementation,ERP Implementation,19102780472.92,429280,6.7,True,2021-01-22,2024-06-06,Charles Johnson,B,Retainer
557a0711,"Snyder, Campos and Callahan Technologies",Digital Transformation,Digital Transformation,28176458152.01,316640,7.5,False,2021-01-10,2025-02-28,Kaitlyn Guerra,B,Time&Materials
5d027520,"Mcclain, Miller and Henderson Solutions",Data Analytics,Data Analytics,19705490357.75,244000,7.3,True,2021-08-30,2024-07-21,Julie Gilbert,C,Time&Materials
