record_id,project_id,tech_domain,department,cost,status,completion_pct,duration_months,milestones_missed,change_requests,risk_score
ERP2021000,P2021000,Data Analytics,Data,13494140.02,Completed Early,54,6,1,2,5
ERP2021001,P2021001,Cybersecurity,Cloud,18982860.84,On-Time,94,14,0,0,2
ERP2021002,P2021002,Blockchain,Data,567857842.92,Delayed,39,6,3,4,5
ERP2021003,P2021003,ERP Implementation,Data,61638721.7,Delayed,81,17,3,5,2
ERP2021004,P2021004,Cloud Migration,Cloud,1041347787.52,On-Time,90,12,1,4,1
ERP2021005,P2021005,Blockchain,Security,21947915.44,On-Time,80,9,1,2,1
ERP2021006,P2021006,Cybersecurity,Data,734984492.06,Delayed,62,12,3,3,1
ERP2021007,P2021007,Data Analytics,Data,18869562.87,On-Time,82,15,0,5,5
ERP2021008,P2021008,Cybersecurity,Cloud,33201583.06,On-Time,83,10,1,1,1
ERP2021009,P2021009,Cloud Migration,Consulting,957105180.44,On-Time,97,11,0,3,5
ERP2021010,P2021010,IoT,Data,9268356.82,On-Time,84,4,0,0,1
ERP2021011,P2021011,Cloud Migration,Data,1173853556.78,On-Time,99,14,1,3,3
ERP2021012,P2021012,IoT,Consulting,881227190.13,On-Time,84,8,1,2,3
ERP2021013,P2021013,Cybersecurity,Security,514581138.01,On-Time,90,10,1,1,5
ERP2021014,P2021014,Blockchain,Cloud,433308.92,Delayed,48,1,1,5,9
ERP2021015,P2021015,Data Analytics,Security,548162.3,On-Time,92,4,1,0,3
ERP2021016,P2021016,Digital Transformation,Cloud,7215785.41,On-Time,98,2,1,5,4
ERP2021017,P2021017,Data Analytics,Consulting,720856097.58,Delayed,85,13,2,5,7
ERP2021018,P2021018,ERP Implementation,Security,9450443.58,On-Time,98,4,1,5,2
ERP2021019,P2021019,Blockchain,Data,5780575.19,On-Time,91,6,0,1,1
ERP2021020,P2021020,AI/ML,Development,1156015424.69,Delayed,80,17,1,3,7
