record_id,month,year,revenue,expenses,profit,project_margin,num_projects,is_quarter_end,is_year_end,AI/ML_revenue,Cloud Migration_revenue,Cybersecurity_revenue,Data Analytics_revenue,Digital Transformation_revenue,ERP Implementation_revenue,IoT_revenue,Blockchain_revenue
F202101,1,2021,24838914809.14,18640097359.43,6198817449.71,0.2496,50,False,False,2067884298.81,1951923307.68,2540441094.76,2931897886.97,6631699899.929999,3820394009.29,2881337860.89,2013336450.81
F202102,2,2021,20012380115.89,14657944049.7,5354436066.19,0.2676,39,False,False,1519163425.15,1105773200.46,2539506111.23,2498783101.1,6506695469.71,1130276103.22,4602465962.99,109716742.03
F202103,3,2021,31759273340.19,22429080877.01,9330192463.18,0.2938,47,True,False,4647708857.21,2718816401.89,2878531146.04,3451403503.81,1036875362.13,2004141143.08,8752006219.36,6269790706.67
F202104,4,2021,20547362070.52,15282845559.29,5264516511.23,0.2562,37,False,False,4252084131.7400002,1167643428.52,1732202781.23,1002471544.6300001,4119215757.77,2658356583.98,1682025183.63,3933362659.02
F202105,5,2021,31066463438.61,22322500535.38,8743962903.23,0.2815,50,False,False,3929060285.11,2853191658.46,767510291.34,6022374379.32,8527315222.7699995,3291213508.28,5529620694.66,146177398.67000002
F202106,6,2021,25243272418.86,18178939250.96,7064333167.9,0.2799,40,True,False,2230878697.57,1242202616.1399999,1071715807.1999999,5241035096.72,6216554235.03,2401698093.4700003,4336208305.84,2502979566.89
F202107,7,2021,19457562083.3,14810823923.86,4646738159.44,0.2388,36,False,False,1996322516.4,1456569634.56,3274179685.75,3434280488.68,2925076919.13,4558120021.37,1810836686.31,2176131.1
F202108,8,2021,27796382886.44,20753342323.16,7043040563.28,0.2534,42,False,False,1723718092.3799999,1729202952.8,4221385243.22,7432226790.65,4606095239.67,2991097663.19,5089514506.56,3142397.97
F202109,9,2021,29740699537.14,21396111265.19,8344588271.95,0.2806,43,True,False,4452027044.34,2475183286.2400002,2297896813.52,3655675587.7799997,4267645809.7999997,3468118029.05,5624695567.88,3499457398.5299997
F202110,10,2021,43238671012.59,29807145707.41,13431525305.18,0.3106,49,False,False,10832170312.34,88069522.05,1457823607.1599998,7726707255.75,3847574498.35,5453340256.02,8798848731.43,5034136829.49
F202111,11,2021,31092832585.16,21932924675.14,9159907910.02,0.2946,51,False,False,3869647264.7599998,3757265044.0699997,5290336748.26,6019283330.2,2678611663.85,1518618952.6699998,2578335861.7799997,5380733719.57
F202112,12,2021,26384470075.06,19057886870.89,7326583204.17,0.2777,50,True,True,769025433.6999999,5152968306.33,6533490513.05,2259088559.73,3242486339.21,1131322516.52,5852200048.79,1443888357.73
F202201,1,2022,24551210018.96,18303281496.22,6247928522.74,0.2545,40,False,False,2650639854.17,4166287416.59,2534074549.43,2429069705.59,6824464691.42,1815788313.72,2073284666.84,2057600821.2
F202202,2,2022,25129683793.27,17790713283.21,7338970510.06,0.292,30,False,False,2486710180.66,1418531565.85,3445126815.25,4681731456.45,1604613052.3999999,0.0,9317594917.36,2175375805.3
F202203,3,2022,23631524882.92,15823905535.45,7807619347.47,0.3304,42,True,False,2672261065.1,828014910.26,3023898603.89,922605598.8399999,1250381777.01,3368489769.6400003,5063610493.47,6502262664.71
F202204,4,2022,24398597792.36,16761920529.54,7636677262.82,0.313,37,False,False,7700362815.68,1070369846.55,839312829.16,4708576205.05,2187301289.29,2055762.41,5727784628.0199995,2162834416.2
F202205,5,2022,19297172320.4,14018547452.88,5278624867.52,0.2735,42,False,False,2019982622.83,78792109.12,2264801894.87,3606752789.1,2417637394.44,5853418438.98,1448457446.11,1607329624.95
F202206,6,2022,33295079071.15,23334913732.91,9960165338.24,0.2991,52,True,False,895041298.58,3285522784.59,4382055414.71,5144659231.67,3956822725.21,4157210609.66,5529772586.88,5943994419.85
F202207,7,2022,17771408824.76,13012471730.94,4758937093.82,0.2678,32,False,False,4640958666.33,33885899.099999994,986410048.77,4101691518.7999997,3450954879.44,1530507433.1599998,895841553.5100001,2131158825.65
F202208,8,2022,18292266821.12,12730474047.2,5561792773.92,0.3041,40,False,False,2641792665.26,1727556049.27,2586449205.22,735447984.73,1071567674.63,1937174962.54,3605253288.07,3987024991.4
F202209,9,2022,33393210962.49,25846906251.35,7546304711.14,0.226,47,True,False,1670064743.0400002,5408174616.27,4854056165.65,7074924870.84,9976264428.47,3513792655.77,794380820.4399999,101552662.01
F202210,10,2022,25521275548.32,17704418374.89,7816857173.43,0.3063,48,False,False,3377829284.53,2969813816.62,2910817453.14,2001198625.07,1462471939.95,3339113599.74,5702052728.47,3757978100.8
F202211,11,2022,26379708449.8,19236722704.38,7142985745.42,0.2708,41,False,False,3797116892.72,1699337574.66,3509290079.53,1112373759.65,4809365103.87,5529362597.02,4327341974.96,1595520467.39
F202212,12,2022,21799840117.71,15723646059.58,6076194058.13,0.2787,33,True,True,3092254297.7200003,2269004127.41,1325691459.52,3801774896.33,2185031797.37,1015928713.95,3525909278.84,4584245546.57
F202301,1,2023,30234094691.29,21467744225.75,8766350465.54,0.2899,47,False,False,3050884350.94,3390979926.3599997,3408829900.2400002,1856160903.9299998,5889582551.589999,2962993125.12,3464175031.69,6210488901.42
F202302,2,2023,22036723425.82,15147347483.65,6889375942.17,0.3126,35,False,False,3260348888.8,3896412168.61,29809171.759999998,1282450.24,4777549003.65,33598513.38,7411429457.06,2626293772.32
F202303,3,2023,19075830652.12,15943341899.77,3132488752.35,0.1642,38,True,False,3170457590.25,1392087196.74,2476879411.91,9940119052.94,7338467760.58,62832857.41,4549548952.71,4459874670.6
F202304,4,2023,20918645617.24,14606869197.63,6311776419.61,0.3017,32,False,False,18652234.56,3236086933.7400002,2438839510.44,4409199123.24,1588251674.67,1132049351.1799998,4067917246.97,4027649542.44
F202305,5,2023,30394363329.88,20542897234.66,9851466095.22,0.3241,48,False,False,8677801494.37,43302310.519999996,1514916085.9399998,2551451839.13,3077262884.3999996,1444768496.3000002,5070128526.97,8014731692.25
F202306,6,2023,23444007280.98,17028936208.02,6415071072.96,0.2736,42,True,False,994648008.3199999,4338343032.63,7798743.75,4526811249.17,4823278971.05,3645167677.34,3622854294.7999997,1485105303.92
F202307,7,2023,25977079812.07,18690728048.55,7286351763.52,0.2805,47,False,False,4181854394.87,4295420406.12,106826570.54,1166015467.31,5028537211.57,1263361929.65,6216653632.56,3718410199.45
F202308,8,2023,26629385946.11,18589955111.07,8039430835.04,0.3019,40,False,False,1918659090.3899999,2918256898.92,35921619.129999995,3010815647.9500003,5896195057.469999,41693459.33,6386141237.34,6421702935.58
F202309,9,2023,24414017465.17,18126445064.39,6287572400.78,0.2575,47,True,False,1741087566.92,1298074973.11,4600567532.92,3955115555.28,6946836627.55,3409717446.2,1233993417.89,1228624345.3
F202310,10,2023,17451412069.5,12985027126.69,4466384942.81,0.2559,36,False,False,33717465.989999995,30543121.14,3280818047.77,2260737259.06,3415549676.5,4100697895.9700003,3308394386.92,1020954216.15
F202311,11,2023,21648541391.75,15408741369.84,6239800021.91,0.2882,31,False,False,2297774429.55,78129564.11,2462022537.42,2260770044.2799997,1001555779.71,3471181348.76,2277720190.94,7799387496.9800005
F202312,12,2023,19217077539.29,14062659757.43,5154417781.86,0.2682,38,True,True,3318741972.56,2897707194.42,23098754.060000002,937259026.21,5597564279.2,2175030574.83,2542854381.8,1724821356.21
F202401,1,2024,3883249.01,2582380.01,1300869.0,0.335,1,False,False,0.0,0.0,0.0,0.0,0.0,3883249.01,0.0,0.0
F202402,2,2024,0.0,0.0,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F202403,3,2024,0.0,0.0,0.0,0.0,0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F202404,4,2024,0.0,0.0,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F202405,5,2024,0.0,0.0,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F202406,6,2024,0.0,0.0,0.0,0.0,0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
