project_id,client,tech_domain,service_type,start_date,end_date,duration_months,team_size,team_roles,avg_experience,min_experience,max_experience,junior_count,hourly_cost,locations,status,client_complaints,revenue,expenses,profit,profit_margin,satisfaction,tender_id,communication_channel,is_rfp,is_repeat_client,project_complexity
P2021000,Abbott-Munoz Systems,Data Analytics,Optimization,2023-10-21,2024-04-28,6,11,"[{'employee_id': 'E4862', 'role': 'Analytics Consultant', 'years_experience': 13.9, 'hourly_rate': 243.1, 'is_lead': True}, {'employee_id': 'E8913', 'role': 'Analytics Consultant', 'years_experience': 4.6, 'hourly_rate': 82.76, 'is_lead': False}, {'employee_id': 'E2334', 'role': 'Analytics Consultant', 'years_experience': 3.7, 'hourly_rate': 113.29, 'is_lead': False}, {'employee_id': 'E2269', 'role': 'Junior BI Specialist', 'years_experience': 1.2, 'hourly_rate': 88.56, 'is_lead': False}, {'employee_id': 'E3655', 'role': 'Data Engineer', 'years_experience': 5.2, 'hourly_rate': 143.66, 'is_lead': False}, {'employee_id': 'E3722', 'role': 'Data Engineer', 'years_experience': 5.3, 'hourly_rate': 140.9, 'is_lead': False}, {'employee_id': 'E1639', 'role': 'Data Engineer', 'years_experience': 10.7, 'hourly_rate': 136.98, 'is_lead': False}, {'employee_id': 'E3797', 'role': 'Junior BI Specialist', 'years_experience': 1.8, 'hourly_rate': 81.77, 'is_lead': False}, {'employee_id': 'E8982', 'role': 'Analytics Consultant', 'years_experience': 5.3, 'hourly_rate': 99.3, 'is_lead': False}, {'employee_id': 'E7850', 'role': 'Analytics Consultant', 'years_experience': 7.8, 'hourly_rate': 247.53, 'is_lead': False}, {'employee_id': 'E2926', 'role': 'BI Specialist', 'years_experience': 3.8, 'hourly_rate': 113.84, 'is_lead': False}]",5.754545454545454,1.2,13.9,2,1491.69,['Berlin'],Completed Early,2,20556681.55,14286893.68,6269787.87,0.305,9,,Direct,False,False,Medium
P2021001,Galloway-Wyatt Technologies,Cybersecurity,Implementation,2022-02-23,2023-05-10,14,7,"[{'employee_id': 'E7082', 'role': 'SOC Analyst', 'years_experience': 12.1, 'hourly_rate': 206.3, 'is_lead': True}, {'employee_id': 'E8735', 'role': 'SOC Analyst', 'years_experience': 4.1, 'hourly_rate': 133.33, 'is_lead': False}, {'employee_id': 'E3217', 'role': 'Pentester', 'years_experience': 7.0, 'hourly_rate': 170.25, 'is_lead': False}, {'employee_id': 'E8763', 'role': 'SOC Analyst', 'years_experience': 4.8, 'hourly_rate': 195.05, 'is_lead': False}, {'employee_id': 'E3936', 'role': 'Pentester', 'years_experience': 12.7, 'hourly_rate': 232.53, 'is_lead': False}, {'employee_id': 'E1091', 'role': 'Security Architect', 'years_experience': 7.9, 'hourly_rate': 227.58, 'is_lead': False}, {'employee_id': 'E4264', 'role': 'Security Architect', 'years_experience': 8.4, 'hourly_rate': 219.39, 'is_lead': False}]",8.142857142857142,4.1,12.7,0,1384.43,['Paris'],On-Time,1,27412688.64,20208634.07,7204054.57,0.26280000000000003,6,,Direct,False,False,Medium
P2021002,"Romero, Gonzalez and Brooks Labs",Blockchain,Assessment,2022-04-08,2022-10-31,6,4,"[{'employee_id': 'E4156', 'role': 'Blockchain Developer', 'years_experience': 7.0, 'hourly_rate': 218.84, 'is_lead': True}, {'employee_id': 'E6009', 'role': 'Smart Contract Engineer', 'years_experience': 8.2, 'hourly_rate': 239.52, 'is_lead': False}, {'employee_id': 'E5173', 'role': 'Smart Contract Engineer', 'years_experience': 7.2, 'hourly_rate': 121.69, 'is_lead': False}, {'employee_id': 'E2269', 'role': 'Blockchain Developer', 'years_experience': 4.4, 'hourly_rate': 80.99, 'is_lead': False}]",6.699999999999999,4.4,8.2,0,661.04,['Lyon'],Delayed,1,859507448.64,592203382.54,267304066.1,0.3109968000000001,1,T2023164,LinkedIn,False,True,Medium
P2021003,James Group Systems,ERP Implementation,Training,2022-07-22,2023-12-28,17,12,"[{'employee_id': 'E4429', 'role': 'Functional Analyst', 'years_experience': 11.5, 'hourly_rate': 203.26, 'is_lead': True}, {'employee_id': 'E4546', 'role': 'ERP Consultant', 'years_experience': 6.7, 'hourly_rate': 243.88, 'is_lead': False}, {'employee_id': 'E3348', 'role': 'ERP Consultant', 'years_experience': 10.4, 'hourly_rate': 245.72, 'is_lead': False}, {'employee_id': 'E6297', 'role': 'ERP Consultant', 'years_experience': 9.6, 'hourly_rate': 220.5, 'is_lead': False}, {'employee_id': 'E3244', 'role': 'ERP Consultant', 'years_experience': 7.5, 'hourly_rate': 160.3, 'is_lead': False}, {'employee_id': 'E7969', 'role': 'Functional Analyst', 'years_experience': 4.8, 'hourly_rate': 134.69, 'is_lead': False}, {'employee_id': 'E5957', 'role': 'Functional Analyst', 'years_experience': 3.5, 'hourly_rate': 147.21, 'is_lead': False}, {'employee_id': 'E4944', 'role': 'ERP Consultant', 'years_experience': 5.6, 'hourly_rate': 122.21, 'is_lead': False}, {'employee_id': 'E7316', 'role': 'Functional Analyst', 'years_experience': 5.4, 'hourly_rate': 138.48, 'is_lead': False}, {'employee_id': 'E6107', 'role': 'Functional Analyst', 'years_experience': 4.5, 'hourly_rate': 118.64, 'is_lead': False}, {'employee_id': 'E9694', 'role': 'Junior Functional Analyst', 'years_experience': 2.6, 'hourly_rate': 82.19, 'is_lead': False}, {'employee_id': 'E3721', 'role': 'ERP Consultant', 'years_experience': 8.1, 'hourly_rate': 225.08, 'is_lead': False}]",6.683333333333333,2.6,11.5,1,2042.16,['Lyon'],Delayed,2,85106511.54,58015406.79,27091104.75,0.31832,8,,Direct,False,False,Medium
P2021004,"Rodriguez, Figueroa and Sanchez Technologies",Cloud Migration,Integration,2023-06-11,2024-06-08,12,10,"[{'employee_id': 'E3916', 'role': 'DevOps Engineer', 'years_experience': 7.4, 'hourly_rate': 161.57, 'is_lead': True}, {'employee_id': 'E8636', 'role': 'DevOps Engineer', 'years_experience': 7.6, 'hourly_rate': 175.22, 'is_lead': False}, {'employee_id': 'E7948', 'role': 'DevOps Engineer', 'years_experience': 5.7, 'hourly_rate': 95.07, 'is_lead': False}, {'employee_id': 'E4129', 'role': 'Solutions Architect', 'years_experience': 10.4, 'hourly_rate': 168.39, 'is_lead': False}, {'employee_id': 'E1174', 'role': 'DevOps Engineer', 'years_experience': 6.6, 'hourly_rate': 103.31, 'is_lead': False}, {'employee_id': 'E9618', 'role': 'DevOps Engineer', 'years_experience': 7.6, 'hourly_rate': 184.16, 'is_lead': False}, {'employee_id': 'E6085', 'role': 'Solutions Architect', 'years_experience': 9.3, 'hourly_rate': 156.83, 'is_lead': False}, {'employee_id': 'E5157', 'role': 'DevOps Engineer', 'years_experience': 4.5, 'hourly_rate': 115.95, 'is_lead': False}, {'employee_id': 'E5473', 'role': 'DevOps Engineer', 'years_experience': 6.3, 'hourly_rate': 97.74, 'is_lead': False}, {'employee_id': 'E8843', 'role': 'DevOps Engineer', 'years_experience': 7.4, 'hourly_rate': 146.81, 'is_lead': False}]",7.280000000000001,4.5,10.4,0,1405.05,['Marseille'],On-Time,2,1655550454.7,1129706241.53,525844213.17,0.317625,9,T2022109,LinkedIn,False,True,Low
P2021005,CloudScape Technologies,Blockchain,Training,2021-12-22,2022-09-20,9,10,"[{'employee_id': 'E1625', 'role': 'Blockchain Developer', 'years_experience': 8.8, 'hourly_rate': 279.78, 'is_lead': True}, {'employee_id': 'E3898', 'role': 'Blockchain Developer', 'years_experience': 9.6, 'hourly_rate': 238.98, 'is_lead': False}, {'employee_id': 'E2356', 'role': 'Junior Blockchain Developer', 'years_experience': 1.8, 'hourly_rate': 84.95, 'is_lead': False}, {'employee_id': 'E1918', 'role': 'Blockchain Developer', 'years_experience': 10.0, 'hourly_rate': 202.93, 'is_lead': False}, {'employee_id': 'E6148', 'role': 'Blockchain Developer', 'years_experience': 8.0, 'hourly_rate': 189.55, 'is_lead': False}, {'employee_id': 'E4181', 'role': 'Smart Contract Engineer', 'years_experience': 9.9, 'hourly_rate': 138.77, 'is_lead': False}, {'employee_id': 'E6450', 'role': 'Blockchain Developer', 'years_experience': 4.6, 'hourly_rate': 115.01, 'is_lead': False}, {'employee_id': 'E3772', 'role': 'Junior Smart Contract Engineer', 'years_experience': 2.7, 'hourly_rate': 81.4, 'is_lead': False}, {'employee_id': 'E9459', 'role': 'Junior Smart Contract Engineer', 'years_experience': 1.4, 'hourly_rate': 73.61, 'is_lead': False}, {'employee_id': 'E7821', 'role': 'Smart Contract Engineer', 'years_experience': 8.6, 'hourly_rate': 172.99, 'is_lead': False}]",6.539999999999999,1.4,10.0,3,1577.97,['Paris'],On-Time,2,30073583.45,20344779.2,9728804.25,0.3235,6,,Direct,False,True,Low
P2021006,Burton Ltd Solutions,Cybersecurity,Managed Services,2022-02-11,2023-02-28,12,5,"[{'employee_id': 'E7705', 'role': 'SOC Analyst', 'years_experience': 9.6, 'hourly_rate': 218.23, 'is_lead': True}, {'employee_id': 'E1052', 'role': 'SOC Analyst', 'years_experience': 6.1, 'hourly_rate': 209.14, 'is_lead': False}, {'employee_id': 'E6745', 'role': 'SOC Analyst', 'years_experience': 8.4, 'hourly_rate': 243.96, 'is_lead': False}, {'employee_id': 'E2410', 'role': 'Pentester', 'years_experience': 9.1, 'hourly_rate': 234.61, 'is_lead': False}, {'employee_id': 'E2444', 'role': 'SOC Analyst', 'years_experience': 6.2, 'hourly_rate': 124.98, 'is_lead': False}]",7.880000000000001,6.1,9.6,0,1030.92,['Paris'],Delayed,0,980094942.05,754594697.78,225500244.27,0.23008000000000003,3,T2022196,Referral,False,False,High
P2021007,TechNovate Solutions,Data Analytics,Integration,2021-06-16,2022-10-08,15,8,"[{'employee_id': 'E5042', 'role': 'Analytics Consultant', 'years_experience': 10.3, 'hourly_rate': 164.24, 'is_lead': True}, {'employee_id': 'E4130', 'role': 'Analytics Consultant', 'years_experience': 4.7, 'hourly_rate': 121.59, 'is_lead': False}, {'employee_id': 'E3174', 'role': 'Analytics Consultant', 'years_experience': 4.6, 'hourly_rate': 96.16, 'is_lead': False}, {'employee_id': 'E5703', 'role': 'BI Specialist', 'years_experience': 5.2, 'hourly_rate': 144.1, 'is_lead': False}, {'employee_id': 'E6169', 'role': 'Data Engineer', 'years_experience': 5.9, 'hourly_rate': 209.79, 'is_lead': False}, {'employee_id': 'E5469', 'role': 'Data Engineer', 'years_experience': 5.6, 'hourly_rate': 121.77, 'is_lead': False}, {'employee_id': 'E5832', 'role': 'Junior Data Engineer', 'years_experience': 2.2, 'hourly_rate': 77.34, 'is_lead': False}, {'employee_id': 'E5334', 'role': 'BI Specialist', 'years_experience': 8.0, 'hourly_rate': 168.81, 'is_lead': False}]",5.8125,2.2,10.3,1,1103.8,['Paris'],On-Time,2,26809094.4,17928581.88,8880512.52,0.33125000000000004,6,,Direct,False,False,Medium
P2021008,Rodriguez-Graham Systems,Cybersecurity,Strategy,2021-11-15,2022-09-16,10,12,"[{'employee_id': 'E4451', 'role': 'SOC Analyst', 'years_experience': 10.4, 'hourly_rate': 168.78, 'is_lead': True}, {'employee_id': 'E6683', 'role': 'Junior SOC Analyst', 'years_experience': 1.7, 'hourly_rate': 77.65, 'is_lead': False}, {'employee_id': 'E4398', 'role': 'SOC Analyst', 'years_experience': 4.4, 'hourly_rate': 122.21, 'is_lead': False}, {'employee_id': 'E5406', 'role': 'SOC Analyst', 'years_experience': 8.9, 'hourly_rate': 220.87, 'is_lead': False}, {'employee_id': 'E5230', 'role': 'Security Architect', 'years_experience': 8.2, 'hourly_rate': 136.63, 'is_lead': False}, {'employee_id': 'E1515', 'role': 'Pentester', 'years_experience': 6.8, 'hourly_rate': 171.48, 'is_lead': False}, {'employee_id': 'E8785', 'role': 'Junior Pentester', 'years_experience': 1.0, 'hourly_rate': 76.77, 'is_lead': False}, {'employee_id': 'E6291', 'role': 'SOC Analyst', 'years_experience': 7.5, 'hourly_rate': 191.74, 'is_lead': False}, {'employee_id': 'E1554', 'role': 'Pentester', 'years_experience': 9.0, 'hourly_rate': 222.62, 'is_lead': False}, {'employee_id': 'E6879', 'role': 'Security Architect', 'years_experience': 6.2, 'hourly_rate': 181.74, 'is_lead': False}, {'employee_id': 'E3600', 'role': 'Pentester', 'years_experience': 4.7, 'hourly_rate': 83.87, 'is_lead': False}, {'employee_id': 'E6516', 'role': 'Pentester', 'years_experience': 9.8, 'hourly_rate': 248.09, 'is_lead': False}]",6.55,1.0,10.4,2,1902.45,['Paris'],On-Time,1,46111735.3,34012015.96,12099719.34,0.26239999999999997,6,,Direct,False,False,Low
P2021009,"Henderson, Ramirez and Lewis Solutions",Cloud Migration,Strategy,2023-07-24,2024-06-21,11,9,"[{'employee_id': 'E8126', 'role': 'Solutions Architect', 'years_experience': 4.9, 'hourly_rate': 213.11, 'is_lead': True}, {'employee_id': 'E4990', 'role': 'DevOps Engineer', 'years_experience': 5.6, 'hourly_rate': 101.83, 'is_lead': False}, {'employee_id': 'E6535', 'role': 'DevOps Engineer', 'years_experience': 8.2, 'hourly_rate': 152.47, 'is_lead': False}, {'employee_id': 'E5918', 'role': 'DevOps Engineer', 'years_experience': 6.2, 'hourly_rate': 103.25, 'is_lead': False}, {'employee_id': 'E9306', 'role': 'Cloud Architect', 'years_experience': 10.3, 'hourly_rate': 240.65, 'is_lead': False}, {'employee_id': 'E5413', 'role': 'DevOps Engineer', 'years_experience': 7.3, 'hourly_rate': 151.09, 'is_lead': False}, {'employee_id': 'E1467', 'role': 'Junior DevOps Engineer', 'years_experience': 2.3, 'hourly_rate': 70.49, 'is_lead': False}, {'employee_id': 'E5924', 'role': 'Cloud Architect', 'years_experience': 9.5, 'hourly_rate': 150.09, 'is_lead': False}, {'employee_id': 'E3286', 'role': 'Junior DevOps Engineer', 'years_experience': 2.7, 'hourly_rate': 77.25, 'is_lead': False}]",6.333333333333333,2.3,10.3,2,1260.23,['London'],On-Time,0,1243296374.51,966289942.27,277006432.24,0.2228,7,T2021012,Conference,True,True,High
P2021010,"Watts, Robinson and Nguyen Technologies",IoT,Implementation,2021-10-30,2022-03-11,4,10,"[{'employee_id': 'E5936', 'role': 'IoT Architect', 'years_experience': 6.3, 'hourly_rate': 284.89, 'is_lead': True}, {'employee_id': 'E4869', 'role': 'IoT Architect', 'years_experience': 7.9, 'hourly_rate': 217.5, 'is_lead': False}, {'employee_id': 'E2477', 'role': 'Junior Embedded Engineer', 'years_experience': 2.3, 'hourly_rate': 71.27, 'is_lead': False}, {'employee_id': 'E7131', 'role': 'Embedded Engineer', 'years_experience': 3.2, 'hourly_rate': 95.19, 'is_lead': False}, {'employee_id': 'E6647', 'role': 'IoT Architect', 'years_experience': 8.4, 'hourly_rate': 157.44, 'is_lead': False}, {'employee_id': 'E4481', 'role': 'Embedded Engineer', 'years_experience': 7.3, 'hourly_rate': 237.94, 'is_lead': False}, {'employee_id': 'E8593', 'role': 'Junior Embedded Engineer', 'years_experience': 2.0, 'hourly_rate': 56.25, 'is_lead': False}, {'employee_id': 'E7350', 'role': 'Embedded Engineer', 'years_experience': 5.1, 'hourly_rate': 129.71, 'is_lead': False}, {'employee_id': 'E7551', 'role': 'IoT Architect', 'years_experience': 5.7, 'hourly_rate': 132.44, 'is_lead': False}, {'employee_id': 'E7956', 'role': 'Embedded Engineer', 'years_experience': 4.1, 'hourly_rate': 138.55, 'is_lead': False}]",5.23,2.0,8.4,2,1521.18,['Paris'],On-Time,0,11859849.45,9272030.3,2587819.15,0.2182,10,,Direct,False,False,High
P2021011,CloudScape Technologies,Cloud Migration,Training,2021-12-31,2023-02-27,14,12,"[{'employee_id': 'E7047', 'role': 'Cloud Architect', 'years_experience': 7.8, 'hourly_rate': 197.29, 'is_lead': True}, {'employee_id': 'E7523', 'role': 'DevOps Engineer', 'years_experience': 5.3, 'hourly_rate': 88.98, 'is_lead': False}, {'employee_id': 'E3262', 'role': 'Junior DevOps Engineer', 'years_experience': 1.5, 'hourly_rate': 73.14, 'is_lead': False}, {'employee_id': 'E4460', 'role': 'DevOps Engineer', 'years_experience': 6.1, 'hourly_rate': 132.74, 'is_lead': False}, {'employee_id': 'E6563', 'role': 'DevOps Engineer', 'years_experience': 6.1, 'hourly_rate': 141.1, 'is_lead': False}, {'employee_id': 'E7974', 'role': 'DevOps Engineer', 'years_experience': 6.8, 'hourly_rate': 123.34, 'is_lead': False}, {'employee_id': 'E7337', 'role': 'DevOps Engineer', 'years_experience': 8.0, 'hourly_rate': 144.26, 'is_lead': False}, {'employee_id': 'E1570', 'role': 'DevOps Engineer', 'years_experience': 7.1, 'hourly_rate': 139.5, 'is_lead': False}, {'employee_id': 'E3941', 'role': 'DevOps Engineer', 'years_experience': 6.5, 'hourly_rate': 145.51, 'is_lead': False}, {'employee_id': 'E9476', 'role': 'Solutions Architect', 'years_experience': 7.9, 'hourly_rate': 196.12, 'is_lead': False}, {'employee_id': 'E2353', 'role': 'Junior DevOps Engineer', 'years_experience': 1.5, 'hourly_rate': 71.65, 'is_lead': False}, {'employee_id': 'E7626', 'role': 'DevOps Engineer', 'years_experience': 5.2, 'hourly_rate': 118.1, 'is_lead': False}]",5.816666666666666,1.5,8.0,2,1571.73,['Lyon'],On-Time,0,1546565513.03,1102461493.14,444104019.89,0.28715499999999994,6,T2023046,Referral,True,True,Medium
