tender_id,client_name,tech_domain,service_type,communication_channel,estimated_value,margin_pct,industry,team_size,status,is_rfp,submission_date,decision_date,complexity
T2021000,Frazier Inc Systems,Data Analytics,Integration,LinkedIn,1153741514.03,30.48,Data Analytics,6,Awarded,True,2023-05-28,2023-04-28,Medium
T2021001,"Rodriguez, Figueroa and Sanchez Technologies",Cloud Migration,Optimization,LinkedIn,1899134771.36,28.24,Cloud Migration,8,Submitted,True,2023-05-15,2021-06-10,Medium
T2021002,Burton Ltd Solutions,Digital Transformation,Integration,Email,1121030503.79,20.83,Cybersecurity,3,Awarded,True,2022-07-01,2022-12-28,Low
T2021003,"Reid, Ferguson and Sanchez Technologies",IoT,Training,LinkedIn,1513946565.47,39.9,IoT,7,Awarded,True,2021-08-06,2022-10-04,High
T2021004,"Walter, Edwards and Rios Technologies",Data Analytics,Training,LinkedIn,1415181024.06,25.65,Data Analytics,5,Lost,False,2021-01-02,2022-11-25,Medium
T2021005,ERP Masters,Digital Transformation,Training,LinkedIn,1045787840.76,19.68,ERP Implementation,6,Lost,True,2023-09-23,2021-06-21,High
T2021006,Baker and Sons Systems,Cybersecurity,Implementation,Conference,677399124.28,31.21,Blockchain,8,Submitted,False,2023-05-17,2022-04-09,High
T2021007,Harrell LLC Solutions,ERP Implementation,Integration,Referral,1015928713.95,11.38,ERP Implementation,14,Awarded,True,2023-11-26,2023-08-13,Low
T2021008,Blake and Sons Solutions,Data Analytics,Training,LinkedIn,1321494960.8,22.94,Data Analytics,6,Submitted,True,2021-05-01,2022-05-14,Low
T2021009,DataMind Analytics,Cloud Migration,Integration,Conference,787256101.71,20.46,Data Analytics,12,Awarded,True,2023-08-27,2022-06-12,High
T2021010,"Adams, Zuniga and Wong Technologies",Blockchain,Managed Services,LinkedIn,1123845798.25,47.33,Blockchain,9,Awarded,True,2021-04-21,2021-08-20,Low
T2021011,Harrell LLC Solutions,ERP Implementation,Implementation,Referral,784322482.23,20.34,ERP Implementation,11,Submitted,True,2023-05-15,2022-02-10,Medium
